round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.09375,0.0,0.3,1.16774,nan,2.9956,7.1
2,0.3125,0.0,0.4456,0.98534,nan,2.99563,14.6
3,0.49875,0.0,0.4459,0.69873,nan,2.99551,22.1
4,0.985,0.92593,0.02519,0.37809,nan,2.99551,29.8
5,0.9975,0.97531,0.00741,0.21837,nan,2.99556,37.3
6,1.0,1.0,0.0,0.13309,nan,2.99553,45.0
7,0.99875,0.98667,0.004,0.0749,nan,2.99556,54.1
8,1.0,1.0,0.0,0.05125,nan,2.99562,62.7
9,0.9975,0.97531,0.00741,0.03804,nan,2.99566,70.9
10,1.0,1.0,0.0,0.02936,nan,2.99552,78.5
11,1.0,1.0,0.0,0.02279,nan,2.99558,86.6
12,1.0,1.0,0.0,0.01526,nan,2.99546,94.7
13,1.0,1.0,0.0,0.01166,nan,2.99555,102.3
14,1.0,1.0,0.0,0.00932,nan,2.9956,109.6
15,1.0,1.0,0.0,0.00392,nan,2.99557,117.3
16,1.0,1.0,0.0,0.00505,nan,2.99552,125.0
17,1.0,1.0,0.0,0.00795,nan,2.99565,132.6
18,1.0,1.0,0.0,0.00496,nan,2.99559,140.3
19,1.0,1.0,0.0,0.00701,nan,2.99559,147.9
20,1.0,1.0,0.0,0.00567,nan,2.99565,155.6
21,1.0,1.0,0.0,0.00195,nan,2.99553,163.4
22,1.0,1.0,0.0,0.00344,nan,2.99554,171.0
23,1.0,1.0,0.0,0.00153,nan,2.99553,178.6
24,1.0,1.0,0.0,0.00137,nan,2.9955,186.2
25,1.0,1.0,0.0,0.00136,nan,2.99559,193.9
26,1.0,1.0,0.0,0.00132,nan,2.99566,201.4
27,1.0,1.0,0.0,0.00274,nan,2.99543,209.1
28,1.0,1.0,0.0,0.00109,nan,2.99545,216.4
29,1.0,1.0,0.0,0.00104,nan,2.99561,224.0
30,1.0,1.0,0.0,0.001,nan,2.99557,231.7
31,1.0,1.0,0.0,0.00095,nan,2.99547,240.0
32,1.0,1.0,0.0,0.00084,nan,2.99556,247.7
33,1.0,1.0,0.0,0.00084,nan,2.99564,255.3
34,1.0,1.0,0.0,0.00077,nan,2.9955,262.9
35,1.0,1.0,0.0,0.00072,nan,2.99555,271.0
36,1.0,1.0,0.0,0.00071,nan,2.99556,278.5
37,1.0,1.0,0.0,0.00068,nan,2.99564,286.2
38,1.0,1.0,0.0,0.00064,nan,2.9956,293.8
39,1.0,1.0,0.0,0.00064,nan,2.99562,301.5
40,1.0,1.0,0.0,0.00062,nan,2.99564,309.0
41,1.0,1.0,0.0,0.00058,nan,2.99559,316.5
42,1.0,1.0,0.0,0.00053,nan,2.9955,324.1
43,1.0,1.0,0.0,0.00052,nan,2.99554,331.7
44,1.0,1.0,0.0,0.00054,nan,2.99553,339.2
45,1.0,1.0,0.0,0.0005,nan,2.99548,347.0
46,1.0,1.0,0.0,0.00047,nan,2.99566,354.7
47,1.0,1.0,0.0,0.00047,nan,2.99555,362.4
48,1.0,1.0,0.0,0.00043,nan,2.9956,370.0
49,1.0,1.0,0.0,0.00046,nan,2.99556,377.5
50,1.0,1.0,0.0,0.00042,nan,2.99555,385.1
