round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.1175,0.0,0.29897,1.14044,nan,2.99561,7.6
2,0.09625,0.0,0.3,0.96477,nan,2.9956,15.2
3,0.60625,0.04412,0.40909,0.66141,nan,2.9956,22.8
4,0.94625,0.55263,0.13238,0.35448,nan,2.99563,30.6
5,0.9225,0.51316,0.16175,0.17437,nan,2.9956,38.2
6,0.9975,0.97531,0.00741,0.11528,nan,2.99565,45.7
7,1.0,1.0,0.0,0.07671,nan,2.99563,53.4
8,1.0,1.0,0.0,0.04255,nan,2.99566,61.0
9,1.0,1.0,0.0,0.02827,nan,2.99565,68.8
10,1.0,1.0,0.0,0.03512,nan,2.99561,76.4
11,1.0,1.0,0.0,0.0242,nan,2.99564,84.1
12,1.0,1.0,0.0,0.01304,nan,2.99563,91.7
13,1.0,1.0,0.0,0.01357,nan,2.99552,99.5
14,1.0,1.0,0.0,0.00868,nan,2.99567,107.4
15,1.0,1.0,0.0,0.00847,nan,2.99559,114.8
16,1.0,1.0,0.0,0.00966,nan,2.9956,122.4
17,1.0,1.0,0.0,0.00301,nan,2.99566,130.0
18,1.0,1.0,0.0,0.00591,nan,2.99558,137.5
19,1.0,1.0,0.0,0.00223,nan,2.99562,145.3
20,1.0,1.0,0.0,0.00524,nan,2.99562,153.0
21,1.0,1.0,0.0,0.00193,nan,2.99562,160.7
22,1.0,1.0,0.0,0.00159,nan,2.99564,168.5
23,1.0,1.0,0.0,0.00221,nan,2.99564,176.1
24,1.0,1.0,0.0,0.00158,nan,2.9956,183.7
25,1.0,1.0,0.0,0.00138,nan,2.99556,191.5
26,1.0,1.0,0.0,0.00136,nan,2.99564,199.5
27,1.0,1.0,0.0,0.00118,nan,2.99563,207.1
28,1.0,1.0,0.0,0.00198,nan,2.99566,214.8
29,1.0,1.0,0.0,0.00113,nan,2.99554,222.7
30,1.0,1.0,0.0,0.00103,nan,2.99562,230.2
31,1.0,1.0,0.0,0.00103,nan,2.99564,238.0
32,1.0,1.0,0.0,0.00089,nan,2.99566,245.6
33,1.0,1.0,0.0,0.00086,nan,2.99563,253.2
34,1.0,1.0,0.0,0.0008,nan,2.99556,260.8
35,1.0,1.0,0.0,0.0008,nan,2.99562,268.4
36,1.0,1.0,0.0,0.00074,nan,2.99559,275.9
37,1.0,1.0,0.0,0.0007,nan,2.99557,283.7
38,1.0,1.0,0.0,0.0007,nan,2.99563,291.5
39,1.0,1.0,0.0,0.00068,nan,2.99568,299.3
40,1.0,1.0,0.0,0.00063,nan,2.99563,306.9
41,1.0,1.0,0.0,0.00058,nan,2.99556,314.8
42,1.0,1.0,0.0,0.00059,nan,2.99562,322.7
43,1.0,1.0,0.0,0.00054,nan,2.99565,330.2
44,1.0,1.0,0.0,0.00058,nan,2.99565,337.6
45,1.0,1.0,0.0,0.00051,nan,2.99565,345.3
46,1.0,1.0,0.0,0.00052,nan,2.99563,352.9
47,1.0,1.0,0.0,0.00048,nan,2.99562,360.5
48,1.0,1.0,0.0,0.00049,nan,2.99559,368.4
49,1.0,1.0,0.0,0.00049,nan,2.99561,376.0
50,1.0,1.0,0.0,0.00044,nan,2.9956,383.6
