round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.27125,0.0,0.40858,1.13295,nan,2.99561,10.6
2,0.23,0.0,0.37731,0.99329,nan,2.99554,18.0
3,0.6475,0.0,0.42314,0.60303,nan,2.99559,25.6
4,0.845,0.34146,0.22501,0.30167,nan,2.99551,33.9
5,0.99625,0.98734,0.00558,0.18,nan,2.99559,42.2
6,0.9975,0.97561,0.00732,0.10785,nan,2.99555,50.7
7,1.0,1.0,0.0,0.06965,nan,2.99561,59.2
8,1.0,1.0,0.0,0.05568,nan,2.99558,67.0
9,1.0,1.0,0.0,0.04353,nan,2.99561,74.8
10,1.0,1.0,0.0,0.02821,nan,2.99554,82.4
11,1.0,1.0,0.0,0.02144,nan,2.99555,90.3
12,1.0,1.0,0.0,0.01381,nan,2.99558,98.0
13,1.0,1.0,0.0,0.01223,nan,2.99563,106.3
14,1.0,1.0,0.0,0.01061,nan,2.99561,114.0
15,1.0,1.0,0.0,0.01617,nan,2.99553,121.6
16,1.0,1.0,0.0,0.01088,nan,2.99559,129.4
17,1.0,1.0,0.0,0.00392,nan,2.99549,137.2
18,1.0,1.0,0.0,0.0044,nan,2.99554,145.1
19,1.0,1.0,0.0,0.00559,nan,2.99553,153.2
20,1.0,1.0,0.0,0.00517,nan,2.99553,161.1
21,1.0,1.0,0.0,0.00316,nan,2.99555,169.6
22,1.0,1.0,0.0,0.00184,nan,2.99558,179.6
23,1.0,1.0,0.0,0.00335,nan,2.99553,188.4
24,1.0,1.0,0.0,0.00151,nan,2.99547,196.3
25,1.0,1.0,0.0,0.0015,nan,2.99555,204.7
26,1.0,1.0,0.0,0.00137,nan,2.99549,212.8
27,1.0,1.0,0.0,0.00125,nan,2.9955,220.7
28,1.0,1.0,0.0,0.00112,nan,2.99552,228.4
29,1.0,1.0,0.0,0.00106,nan,2.99551,236.4
30,1.0,1.0,0.0,0.00101,nan,2.99557,244.2
31,1.0,1.0,0.0,0.00096,nan,2.99561,252.3
32,1.0,1.0,0.0,0.00093,nan,2.99561,259.9
33,1.0,1.0,0.0,0.0009,nan,2.99557,267.5
34,1.0,1.0,0.0,0.00085,nan,2.99556,275.5
35,1.0,1.0,0.0,0.00078,nan,2.99554,283.5
36,1.0,1.0,0.0,0.00077,nan,2.99559,291.3
37,1.0,1.0,0.0,0.00073,nan,2.99547,299.1
38,1.0,1.0,0.0,0.00067,nan,2.99559,307.4
39,1.0,1.0,0.0,0.00065,nan,2.99555,315.8
40,1.0,1.0,0.0,0.00061,nan,2.99552,323.7
41,1.0,1.0,0.0,0.00061,nan,2.99557,331.9
42,1.0,1.0,0.0,0.00059,nan,2.99555,339.6
43,1.0,1.0,0.0,0.00057,nan,2.99549,347.5
44,1.0,1.0,0.0,0.00055,nan,2.99561,355.4
45,1.0,1.0,0.0,0.00051,nan,2.99557,363.3
46,1.0,1.0,0.0,0.00051,nan,2.99559,371.0
47,1.0,1.0,0.0,0.0005,nan,2.99555,378.8
48,1.0,1.0,0.0,0.00049,nan,2.99558,386.3
49,1.0,1.0,0.0,0.00043,nan,2.99556,394.3
50,1.0,1.0,0.0,0.00043,nan,2.99547,402.2
