round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.115,0.0,0.3,1.22198,nan,2.99565,9.0
2,0.22,0.0,0.39783,1.0723,nan,2.99563,17.8
3,0.23375,0.0,0.36664,0.97049,nan,2.99558,26.9
4,0.57875,0.04054,0.41369,0.7213,nan,2.99559,35.8
5,0.75125,0.0,0.37157,0.39185,nan,2.99557,45.5
6,0.9825,0.86316,0.04081,0.2477,nan,2.99558,55.0
7,0.99875,0.98649,0.00405,0.13431,nan,2.99561,63.6
8,1.0,1.0,0.0,0.08108,nan,2.9956,72.6
9,1.0,1.0,0.0,0.05522,nan,2.99562,81.3
10,1.0,1.0,0.0,0.03756,nan,2.99558,90.1
11,1.0,1.0,0.0,0.02628,nan,2.99564,98.9
12,1.0,1.0,0.0,0.02022,nan,2.9956,107.5
13,1.0,1.0,0.0,0.01278,nan,2.99563,116.5
14,1.0,1.0,0.0,0.01348,nan,2.99565,125.0
15,1.0,1.0,0.0,0.00575,nan,2.99559,133.9
16,1.0,1.0,0.0,0.00494,nan,2.9956,143.0
17,1.0,1.0,0.0,0.0033,nan,2.99561,151.8
18,1.0,1.0,0.0,0.00381,nan,2.99561,160.7
19,1.0,1.0,0.0,0.00272,nan,2.99559,169.3
20,1.0,1.0,0.0,0.00293,nan,2.99556,178.1
21,1.0,1.0,0.0,0.00209,nan,2.99563,187.0
22,1.0,1.0,0.0,0.00182,nan,2.99562,195.8
23,1.0,1.0,0.0,0.00172,nan,2.99558,204.4
24,1.0,1.0,0.0,0.00168,nan,2.99558,213.1
25,1.0,1.0,0.0,0.00286,nan,2.99561,221.8
26,1.0,1.0,0.0,0.00137,nan,2.99563,230.6
27,1.0,1.0,0.0,0.00123,nan,2.99556,239.4
28,1.0,1.0,0.0,0.0012,nan,2.99561,248.1
29,1.0,1.0,0.0,0.00109,nan,2.99557,256.9
30,1.0,1.0,0.0,0.00104,nan,2.99562,266.1
31,1.0,1.0,0.0,0.00094,nan,2.99561,275.0
32,1.0,1.0,0.0,0.00093,nan,2.9956,283.7
33,1.0,1.0,0.0,0.00085,nan,2.99563,292.9
34,1.0,1.0,0.0,0.00085,nan,2.99564,301.9
35,1.0,1.0,0.0,0.00081,nan,2.99557,310.5
36,1.0,1.0,0.0,0.0008,nan,2.99557,319.2
37,1.0,1.0,0.0,0.00073,nan,2.99561,327.9
38,1.0,1.0,0.0,0.00074,nan,2.9956,336.8
39,1.0,1.0,0.0,0.00068,nan,2.99562,345.5
40,1.0,1.0,0.0,0.00063,nan,2.99559,354.5
41,1.0,1.0,0.0,0.00062,nan,2.99559,363.3
42,1.0,1.0,0.0,0.00064,nan,2.99562,372.1
43,1.0,1.0,0.0,0.00058,nan,2.99558,381.0
44,1.0,1.0,0.0,0.00056,nan,2.99564,389.8
45,1.0,1.0,0.0,0.00054,nan,2.9956,398.6
46,1.0,1.0,0.0,0.00052,nan,2.99561,407.4
47,1.0,1.0,0.0,0.00052,nan,2.99559,416.5
48,1.0,1.0,0.0,0.0005,nan,2.9956,425.2
49,1.0,1.0,0.0,0.00049,nan,2.99563,434.1
50,1.0,1.0,0.0,0.00045,nan,2.99553,442.7
