round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.09625,0.0,0.3,1.22795,nan,2.99561,7.7
2,0.09625,0.0,0.3,1.05035,nan,2.9956,15.3
3,0.3,0.0,0.40388,0.98532,nan,2.99556,23.1
4,0.625,0.0,0.36314,0.75021,nan,2.99562,30.8
5,0.8,0.35443,0.22868,0.36609,nan,2.99563,38.6
6,0.99125,0.95946,0.01404,0.20047,nan,2.99561,46.1
7,1.0,1.0,0.0,0.12901,nan,2.99563,53.8
8,1.0,1.0,0.0,0.0826,nan,2.99562,61.5
9,0.995,0.94595,0.01622,0.04972,nan,2.99564,69.3
10,1.0,1.0,0.0,0.03963,nan,2.99559,77.0
11,1.0,1.0,0.0,0.02991,nan,2.99557,84.9
12,1.0,1.0,0.0,0.02108,nan,2.99563,92.6
13,1.0,1.0,0.0,0.01209,nan,2.99562,100.2
14,1.0,1.0,0.0,0.01065,nan,2.99563,107.7
15,1.0,1.0,0.0,0.00643,nan,2.9956,115.3
16,1.0,1.0,0.0,0.00451,nan,2.99557,123.1
17,1.0,1.0,0.0,0.00991,nan,2.9956,130.8
18,1.0,1.0,0.0,0.00314,nan,2.99561,138.3
19,1.0,1.0,0.0,0.00278,nan,2.99558,146.0
20,1.0,1.0,0.0,0.00396,nan,2.9956,153.7
21,1.0,1.0,0.0,0.00208,nan,2.99557,161.7
22,1.0,1.0,0.0,0.00195,nan,2.99562,169.4
23,1.0,1.0,0.0,0.00174,nan,2.99555,177.0
24,1.0,1.0,0.0,0.00172,nan,2.9956,184.7
25,1.0,1.0,0.0,0.00147,nan,2.99554,192.4
26,1.0,1.0,0.0,0.00138,nan,2.99559,200.0
27,1.0,1.0,0.0,0.00124,nan,2.99561,207.8
28,1.0,1.0,0.0,0.00117,nan,2.99561,215.5
29,1.0,1.0,0.0,0.0011,nan,2.99562,223.3
30,1.0,1.0,0.0,0.00108,nan,2.99562,231.0
31,1.0,1.0,0.0,0.00096,nan,2.99553,238.8
32,1.0,1.0,0.0,0.00094,nan,2.99563,246.5
33,1.0,1.0,0.0,0.0009,nan,2.9956,254.2
34,1.0,1.0,0.0,0.00086,nan,2.9956,261.9
35,1.0,1.0,0.0,0.00081,nan,2.99561,269.7
36,1.0,1.0,0.0,0.00079,nan,2.99557,277.2
37,1.0,1.0,0.0,0.00076,nan,2.99565,284.7
38,1.0,1.0,0.0,0.00077,nan,2.99561,292.3
39,1.0,1.0,0.0,0.0007,nan,2.99559,300.0
40,1.0,1.0,0.0,0.00067,nan,2.99559,307.7
41,1.0,1.0,0.0,0.0006,nan,2.99557,315.3
42,1.0,1.0,0.0,0.0006,nan,2.99561,322.7
43,1.0,1.0,0.0,0.00055,nan,2.99562,330.5
44,1.0,1.0,0.0,0.00057,nan,2.99561,338.1
45,1.0,1.0,0.0,0.00053,nan,2.99563,346.0
46,1.0,1.0,0.0,0.00053,nan,2.99557,353.7
47,1.0,1.0,0.0,0.00051,nan,2.9956,361.4
48,1.0,1.0,0.0,0.00048,nan,2.99557,369.1
49,1.0,1.0,0.0,0.00047,nan,2.99556,376.7
50,1.0,1.0,0.0,0.00043,nan,2.99555,384.6
