round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.42675,0.00773,0.34968,0.17086,nan,2.99573,112.5
2,0.73862,0.31381,0.21577,0.07597,nan,2.99573,226.5
3,0.79963,0.37621,0.21236,0.0461,nan,2.99573,341.0
4,0.89363,0.76456,0.07694,0.03691,nan,2.99573,454.4
5,0.9095,0.69735,0.08009,0.02993,nan,2.99573,573.3
6,0.93463,0.85233,0.04581,0.02655,nan,2.99573,687.7
7,0.94075,0.8614,0.04445,0.02001,nan,2.99573,801.2
8,0.951,0.89896,0.03259,0.01901,nan,2.99573,915.0
9,0.9555,0.91748,0.02498,0.01788,nan,2.99573,1028.7
10,0.95537,0.91544,0.02422,0.01476,nan,2.99573,1142.7
11,0.95775,0.93204,0.02118,0.01367,nan,2.99573,1256.8
12,0.95388,0.90656,0.02768,0.01488,nan,2.99573,1370.4
13,0.96337,0.93447,0.01759,0.01182,nan,2.99573,1485.9
14,0.96675,0.94819,0.01352,0.01281,nan,2.99573,1600.3
15,0.96825,0.92746,0.01847,0.01133,nan,2.99573,1714.3
16,0.96788,0.93912,0.01744,0.01001,nan,2.99573,1829.5
17,0.96862,0.94485,0.01693,0.01126,nan,2.99573,1942.3
18,0.96962,0.95078,0.01407,0.01038,nan,2.99573,2055.6
19,0.971,0.94608,0.01356,0.00972,nan,2.99573,2168.3
20,0.97088,0.94485,0.01682,0.01099,nan,2.99573,2281.1
21,0.97137,0.93782,0.01631,0.00862,nan,2.99573,2405.6
22,0.97088,0.94171,0.01681,0.00924,nan,2.99573,2519.1
23,0.97262,0.94948,0.01624,0.00834,nan,2.99573,2632.1
24,0.97525,0.95466,0.01093,0.00765,nan,2.99573,2746.3
25,0.97625,0.96201,0.0107,0.00816,nan,2.99573,2859.8
26,0.97625,0.95343,0.01211,0.00834,nan,2.99573,2974.1
27,0.97588,0.95984,0.01223,0.00756,nan,2.99573,3093.5
28,0.97562,0.94485,0.0155,0.0089,nan,2.99573,3225.4
29,0.9745,0.94948,0.01399,0.00817,nan,2.99573,3338.9
30,0.976,0.94888,0.01381,0.00691,nan,2.99573,3452.2
31,0.97913,0.96135,0.01027,0.00722,nan,2.99573,3566.0
32,0.97762,0.94975,0.01165,0.00615,nan,2.99573,3680.3
33,0.97725,0.95221,0.01276,0.00711,nan,2.99573,3793.1
34,0.97925,0.94975,0.01173,0.00686,nan,2.99573,3908.8
35,0.97875,0.96135,0.01302,0.00631,nan,2.99573,4021.9
36,0.97937,0.96569,0.00908,0.00653,nan,2.99573,4137.6
37,0.98013,0.96569,0.01035,0.00677,nan,2.99573,4254.2
38,0.9795,0.95098,0.01357,0.00605,nan,2.99573,4368.1
39,0.9805,0.96078,0.01065,0.00629,nan,2.99573,4481.2
40,0.97913,0.96244,0.00982,0.0057,nan,2.99573,4593.6
41,0.97962,0.95466,0.01319,0.00626,nan,2.99573,4705.9
42,0.98037,0.96324,0.01153,0.00639,nan,2.99573,4819.5
43,0.98188,0.96509,0.01018,0.00623,nan,2.99573,4931.8
44,0.98175,0.96691,0.01091,0.00505,nan,2.99573,5048.3
45,0.98137,0.95855,0.01073,0.00446,nan,2.99573,5163.0
46,0.98337,0.96883,0.00878,0.00594,nan,2.99573,5278.3
47,0.98313,0.9715,0.00817,0.00452,nan,2.99573,5393.5
48,0.98313,0.96569,0.0089,0.00611,nan,2.99573,5506.9
49,0.98237,0.97257,0.00867,0.00495,nan,2.99573,5619.1
50,0.98325,0.95833,0.01094,0.00464,nan,2.99573,5732.6
