round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.48812,0.0,0.40603,0.17569,0.05182,2.9777,123.1
2,0.75325,0.01421,0.26105,0.07851,0.06297,2.97466,244.3
3,0.8565,0.62409,0.11842,0.04934,0.08156,2.97013,365.9
4,0.88613,0.73671,0.07598,0.03508,0.08811,2.97626,487.8
5,0.89825,0.78553,0.06679,0.03102,0.08798,2.97749,612.8
6,0.91212,0.77691,0.0652,0.02403,0.09941,2.97835,736.8
7,0.92488,0.84436,0.05016,0.02305,0.14231,2.95857,858.2
8,0.9405,0.87855,0.03573,0.02046,0.11411,2.97463,980.2
9,0.94388,0.89664,0.03339,0.01945,0.15027,2.96413,1101.3
10,0.949,0.91731,0.02592,0.01736,0.1092,2.98231,1223.3
11,0.9495,0.87105,0.03383,0.01863,0.1165,2.97932,1349.2
12,0.94625,0.84915,0.03972,0.01718,0.10683,2.9827,1472.9
13,0.95437,0.90272,0.03047,0.01443,0.10443,2.98466,1595.8
14,0.95713,0.92079,0.02367,0.01521,0.09114,2.98835,1718.3
15,0.95737,0.91119,0.0231,0.01211,0.08064,2.98979,1841.5
16,0.95613,0.89659,0.029,0.01297,0.08736,2.98892,1962.2
17,0.96262,0.92822,0.02176,0.01321,0.08993,2.98883,2085.7
18,0.96188,0.91363,0.02256,0.01292,0.09902,2.98725,2222.7
