round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.41013,0.0,0.42669,0.19477,nan,2.9956,114.5
2,0.74813,0.23976,0.2284,0.068,nan,2.99558,228.4
3,0.869,0.62289,0.10509,0.05431,nan,2.99562,342.8
4,0.90687,0.81566,0.06662,0.03693,nan,2.99558,456.8
5,0.913,0.71302,0.09197,0.03181,nan,2.9956,571.0
6,0.93275,0.82048,0.05601,0.02832,nan,2.99562,686.7
7,0.94588,0.86346,0.03835,0.02138,nan,2.99554,800.8
8,0.94388,0.84829,0.03999,0.0168,nan,2.99559,915.8
9,0.95488,0.90013,0.02797,0.01859,nan,2.99554,1030.3
10,0.95713,0.9226,0.02386,0.01849,nan,2.99565,1143.7
11,0.95937,0.90024,0.02801,0.01622,nan,2.99556,1257.3
12,0.9635,0.93173,0.02035,0.01343,nan,2.99565,1371.2
13,0.95975,0.91332,0.02519,0.01194,nan,2.99551,1485.2
14,0.96437,0.92875,0.01959,0.01383,nan,2.9956,1604.5
15,0.96625,0.92188,0.02139,0.01201,nan,2.99558,1719.0
16,0.96775,0.9226,0.02077,0.01336,nan,2.99555,1832.9
17,0.97037,0.93489,0.01693,0.01111,nan,2.99559,1946.7
18,0.9705,0.94185,0.0158,0.01264,nan,2.99558,2061.0
19,0.97325,0.94437,0.0136,0.01034,nan,2.99559,2175.9
20,0.97088,0.92668,0.02177,0.00845,nan,2.9956,2290.1
21,0.97437,0.95332,0.01352,0.00684,nan,2.99547,2405.9
22,0.97175,0.91909,0.02215,0.00969,nan,2.99559,2520.9
23,0.976,0.95553,0.01279,0.01003,nan,2.99559,2635.4
24,0.9765,0.95449,0.01459,0.00888,nan,2.99563,2750.0
25,0.97562,0.95449,0.01375,0.01023,nan,2.99557,2865.7
26,0.97662,0.94699,0.01315,0.00835,nan,2.99554,2979.1
27,0.97788,0.95904,0.01196,0.00876,nan,2.99564,3092.8
28,0.97875,0.95433,0.0112,0.0081,nan,2.99555,3206.7
29,0.98,0.9646,0.00902,0.00855,nan,2.99554,3322.4
30,0.97962,0.95433,0.01225,0.00717,nan,2.99555,3438.8
31,0.98013,0.96154,0.01095,0.00668,nan,2.99549,3552.2
32,0.97962,0.95553,0.01189,0.00836,nan,2.99555,3665.8
33,0.9795,0.95072,0.01274,0.00583,nan,2.99553,3779.1
34,0.98,0.95575,0.01174,0.00682,nan,2.99557,3892.2
35,0.98062,0.9646,0.00968,0.00679,nan,2.99539,4006.0
36,0.98013,0.94943,0.01422,0.00663,nan,2.99556,4120.1
37,0.98088,0.96755,0.00935,0.00606,nan,2.99552,4236.1
38,0.98175,0.96514,0.01031,0.00574,nan,2.99556,4350.0
39,0.98013,0.96154,0.01232,0.00656,nan,2.99561,4463.4
40,0.98013,0.96506,0.01086,0.00639,nan,2.99557,4577.7
41,0.98125,0.97052,0.00811,0.00729,nan,2.9956,4691.3
42,0.98237,0.97236,0.00766,0.0057,nan,2.99557,4806.2
43,0.98262,0.96755,0.0087,0.00674,nan,2.99552,4920.0
44,0.98237,0.96995,0.00785,0.0056,nan,2.99561,5033.3
45,0.98325,0.96755,0.00744,0.00645,nan,2.99561,5149.9
46,0.98375,0.96966,0.00804,0.00565,nan,2.99551,5266.4
47,0.9835,0.96995,0.00758,0.00528,nan,2.99559,5379.4
48,0.98237,0.96514,0.01041,0.00496,nan,2.99549,5493.4
49,0.9835,0.97229,0.00695,0.00493,nan,2.99555,5606.6
50,0.98337,0.96394,0.00944,0.00519,nan,2.99553,5720.4
