round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.1075,0.0,0.3,1.11705,nan,2.99555,8.7
2,0.58625,0.0,0.38772,0.92777,nan,2.99553,17.5
3,0.84125,0.0,0.29727,0.57618,nan,2.99557,26.4
4,0.96125,0.72368,0.08358,0.28682,nan,2.99555,35.3
5,0.94,0.51316,0.14542,0.18041,nan,2.99549,44.2
6,0.99125,0.90789,0.02763,0.10585,nan,2.99553,53.1
7,1.0,1.0,0.0,0.07165,nan,2.99564,61.9
8,1.0,1.0,0.0,0.05553,nan,2.99554,70.7
9,1.0,1.0,0.0,0.03354,nan,2.9956,79.6
10,1.0,1.0,0.0,0.02198,nan,2.99556,88.4
11,1.0,1.0,0.0,0.01889,nan,2.99559,97.1
12,1.0,1.0,0.0,0.01656,nan,2.99552,105.8
13,1.0,1.0,0.0,0.011,nan,2.99558,114.4
14,1.0,1.0,0.0,0.00936,nan,2.99545,123.1
15,1.0,1.0,0.0,0.0123,nan,2.99558,132.0
16,1.0,1.0,0.0,0.00691,nan,2.99561,140.9
17,1.0,1.0,0.0,0.00332,nan,2.99554,149.7
18,1.0,1.0,0.0,0.00283,nan,2.99553,158.4
19,1.0,1.0,0.0,0.0046,nan,2.99551,167.1
20,1.0,1.0,0.0,0.00703,nan,2.99555,175.9
21,1.0,1.0,0.0,0.00463,nan,2.99544,184.5
22,1.0,1.0,0.0,0.0017,nan,2.99546,193.5
23,1.0,1.0,0.0,0.00149,nan,2.99555,202.3
24,1.0,1.0,0.0,0.00415,nan,2.99559,210.8
25,1.0,1.0,0.0,0.00211,nan,2.99555,219.6
26,1.0,1.0,0.0,0.00128,nan,2.99553,228.3
27,1.0,1.0,0.0,0.00124,nan,2.99555,237.0
28,1.0,1.0,0.0,0.0018,nan,2.99557,245.7
29,1.0,1.0,0.0,0.00114,nan,2.99558,254.5
30,1.0,1.0,0.0,0.00101,nan,2.99556,263.1
31,1.0,1.0,0.0,0.00174,nan,2.99554,272.0
32,1.0,1.0,0.0,0.00171,nan,2.99555,280.7
33,1.0,1.0,0.0,0.00128,nan,2.99554,289.3
34,1.0,1.0,0.0,0.00081,nan,2.99559,298.2
35,1.0,1.0,0.0,0.00082,nan,2.99557,306.9
36,1.0,1.0,0.0,0.00075,nan,2.99549,315.8
37,1.0,1.0,0.0,0.00072,nan,2.99556,324.5
38,1.0,1.0,0.0,0.00066,nan,2.99552,333.5
39,1.0,1.0,0.0,0.0007,nan,2.99559,342.0
40,1.0,1.0,0.0,0.00061,nan,2.99555,350.9
41,1.0,1.0,0.0,0.00059,nan,2.99551,359.7
42,1.0,1.0,0.0,0.00056,nan,2.99547,368.5
43,1.0,1.0,0.0,0.00056,nan,2.99552,377.1
44,1.0,1.0,0.0,0.00159,nan,2.99555,392.0
45,1.0,1.0,0.0,0.00053,nan,2.9955,408.1
46,1.0,1.0,0.0,0.0005,nan,2.99541,422.9
47,1.0,1.0,0.0,0.00049,nan,2.9956,430.1
48,1.0,1.0,0.0,0.00045,nan,2.99556,437.9
49,1.0,1.0,0.0,0.00046,nan,2.99558,445.6
50,1.0,1.0,0.0,0.00043,nan,2.99554,452.8
