round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.115,0.0,0.29871,1.16378,nan,2.99562,8.5
2,0.265,0.0,0.38963,0.96647,nan,2.99562,17.2
3,0.56125,0.0,0.39703,0.68352,nan,2.99555,25.8
4,0.97625,0.89474,0.03669,0.32513,nan,2.99568,34.7
5,0.99625,0.98684,0.00583,0.17076,nan,2.99559,43.5
6,0.9975,0.97531,0.00741,0.11308,nan,2.99559,52.2
7,0.99875,0.98734,0.0038,0.07677,nan,2.99563,61.0
8,1.0,1.0,0.0,0.05476,nan,2.99566,69.9
9,1.0,1.0,0.0,0.03851,nan,2.99566,78.8
10,1.0,1.0,0.0,0.03041,nan,2.99566,87.7
11,1.0,1.0,0.0,0.02111,nan,2.99558,96.4
12,1.0,1.0,0.0,0.01479,nan,2.9956,105.2
13,1.0,1.0,0.0,0.01838,nan,2.99568,113.6
14,1.0,1.0,0.0,0.01054,nan,2.99563,122.2
15,1.0,1.0,0.0,0.00431,nan,2.99559,130.8
16,1.0,1.0,0.0,0.00722,nan,2.99563,139.5
17,1.0,1.0,0.0,0.00716,nan,2.99566,148.1
18,1.0,1.0,0.0,0.00743,nan,2.99566,157.1
19,1.0,1.0,0.0,0.00478,nan,2.99557,165.8
20,1.0,1.0,0.0,0.00243,nan,2.99553,174.3
21,1.0,1.0,0.0,0.00378,nan,2.99557,183.0
22,1.0,1.0,0.0,0.00229,nan,2.99564,191.7
23,1.0,1.0,0.0,0.00159,nan,2.99563,200.5
24,1.0,1.0,0.0,0.00164,nan,2.99562,209.2
25,1.0,1.0,0.0,0.00133,nan,2.99565,218.0
26,1.0,1.0,0.0,0.00131,nan,2.99562,227.0
27,1.0,1.0,0.0,0.00122,nan,2.99557,235.9
28,1.0,1.0,0.0,0.00114,nan,2.99563,244.5
29,1.0,1.0,0.0,0.00109,nan,2.99563,253.3
30,1.0,1.0,0.0,0.00105,nan,2.99562,262.2
31,1.0,1.0,0.0,0.00089,nan,2.99561,271.0
32,1.0,1.0,0.0,0.00089,nan,2.99562,279.9
33,1.0,1.0,0.0,0.00086,nan,2.99565,288.6
34,1.0,1.0,0.0,0.00088,nan,2.99566,297.3
35,1.0,1.0,0.0,0.00075,nan,2.99564,305.9
36,1.0,1.0,0.0,0.00076,nan,2.99567,315.0
37,1.0,1.0,0.0,0.0007,nan,2.99563,324.0
38,1.0,1.0,0.0,0.00068,nan,2.99564,332.9
39,1.0,1.0,0.0,0.00064,nan,2.99562,341.6
40,1.0,1.0,0.0,0.00067,nan,2.99567,350.5
41,1.0,1.0,0.0,0.00059,nan,2.99555,359.3
42,1.0,1.0,0.0,0.00058,nan,2.9956,368.2
43,1.0,1.0,0.0,0.00055,nan,2.99566,376.8
44,1.0,1.0,0.0,0.00053,nan,2.99563,385.6
45,1.0,1.0,0.0,0.0005,nan,2.99561,394.4
46,1.0,1.0,0.0,0.00054,nan,2.99566,403.2
47,1.0,1.0,0.0,0.00051,nan,2.99569,412.0
48,1.0,1.0,0.0,0.00052,nan,2.99569,420.6
49,1.0,1.0,0.0,0.00049,nan,2.9956,429.3
50,1.0,1.0,0.0,0.00097,nan,2.99553,438.1
