round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.115,0.0,0.3,1.24579,nan,2.99564,7.8
2,0.19,0.0,0.33655,1.06696,nan,2.99565,15.5
3,0.25875,0.0,0.40929,1.03635,nan,2.99567,23.5
4,0.24125,0.0,0.3907,0.79341,nan,2.99567,33.2
5,0.92375,0.475,0.15655,0.40432,nan,2.99564,41.7
6,0.92125,0.56842,0.14334,0.24959,nan,2.99568,49.6
7,0.99625,0.98734,0.00569,0.14474,nan,2.99567,57.3
8,1.0,1.0,0.0,0.08733,nan,2.99565,65.7
9,1.0,1.0,0.0,0.05782,nan,2.99564,73.5
10,1.0,1.0,0.0,0.03578,nan,2.99566,81.2
11,1.0,1.0,0.0,0.02919,nan,2.99562,89.1
12,1.0,1.0,0.0,0.01337,nan,2.99569,97.0
13,1.0,1.0,0.0,0.01365,nan,2.99562,104.8
14,1.0,1.0,0.0,0.00973,nan,2.99563,112.3
15,1.0,1.0,0.0,0.00694,nan,2.99568,120.2
16,1.0,1.0,0.0,0.00418,nan,2.99563,127.8
17,1.0,1.0,0.0,0.00332,nan,2.99563,135.6
18,1.0,1.0,0.0,0.0029,nan,2.9956,144.1
19,1.0,1.0,0.0,0.00442,nan,2.99567,151.7
20,1.0,1.0,0.0,0.00236,nan,2.99567,159.5
21,1.0,1.0,0.0,0.00202,nan,2.99564,167.2
22,1.0,1.0,0.0,0.00197,nan,2.99565,175.1
23,1.0,1.0,0.0,0.00162,nan,2.99561,182.8
24,1.0,1.0,0.0,0.00156,nan,2.99566,190.4
25,1.0,1.0,0.0,0.00153,nan,2.99562,198.2
26,1.0,1.0,0.0,0.0014,nan,2.99565,205.8
27,1.0,1.0,0.0,0.00122,nan,2.99563,213.3
28,1.0,1.0,0.0,0.00117,nan,2.99563,221.0
29,1.0,1.0,0.0,0.00112,nan,2.99564,228.6
30,1.0,1.0,0.0,0.00108,nan,2.99566,236.2
31,1.0,1.0,0.0,0.00103,nan,2.99562,243.9
32,1.0,1.0,0.0,0.00094,nan,2.99564,251.7
33,1.0,1.0,0.0,0.00091,nan,2.99567,259.4
34,1.0,1.0,0.0,0.00088,nan,2.99565,267.2
35,1.0,1.0,0.0,0.00083,nan,2.99559,274.8
36,1.0,1.0,0.0,0.00081,nan,2.99565,282.4
37,1.0,1.0,0.0,0.00074,nan,2.99564,290.3
38,1.0,1.0,0.0,0.00069,nan,2.99562,299.0
39,1.0,1.0,0.0,0.00067,nan,2.99562,308.0
40,1.0,1.0,0.0,0.00062,nan,2.99564,316.8
41,1.0,1.0,0.0,0.00062,nan,2.99568,325.8
42,1.0,1.0,0.0,0.00057,nan,2.99566,334.7
43,1.0,1.0,0.0,0.0006,nan,2.99567,343.4
44,1.0,1.0,0.0,0.00056,nan,2.99566,352.1
45,1.0,1.0,0.0,0.00054,nan,2.9956,360.5
46,1.0,1.0,0.0,0.0005,nan,2.99568,369.5
47,1.0,1.0,0.0,0.0005,nan,2.99563,378.3
48,1.0,1.0,0.0,0.00049,nan,2.99564,387.2
49,1.0,1.0,0.0,0.00047,nan,2.99563,395.9
50,1.0,1.0,0.0,0.00044,nan,2.99557,404.5
