round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.1,0.0,0.3,1.1857,nan,2.99559,7.6
2,0.225,0.0,0.39233,0.97787,nan,2.99551,15.2
3,0.4225,0.0,0.42742,0.67266,nan,2.99536,22.9
4,0.71125,0.025,0.32219,0.36022,nan,2.99553,30.6
5,0.90125,0.62963,0.14955,0.20484,nan,2.99547,38.5
6,0.9975,0.97531,0.00741,0.12872,nan,2.99558,46.4
7,1.0,1.0,0.0,0.08383,nan,2.99544,53.9
8,1.0,1.0,0.0,0.06777,nan,2.99553,61.8
9,1.0,1.0,0.0,0.03464,nan,2.99542,69.5
10,1.0,1.0,0.0,0.0217,nan,2.99549,77.3
11,1.0,1.0,0.0,0.02168,nan,2.99544,85.0
12,1.0,1.0,0.0,0.02002,nan,2.99556,92.7
13,1.0,1.0,0.0,0.00863,nan,2.99552,100.3
14,1.0,1.0,0.0,0.00686,nan,2.99542,108.1
15,1.0,1.0,0.0,0.00607,nan,2.99549,115.8
16,1.0,1.0,0.0,0.00416,nan,2.99535,123.5
17,1.0,1.0,0.0,0.00523,nan,2.99554,131.5
18,1.0,1.0,0.0,0.00324,nan,2.99554,139.2
19,1.0,1.0,0.0,0.00335,nan,2.99549,146.8
20,1.0,1.0,0.0,0.00201,nan,2.99552,154.3
21,1.0,1.0,0.0,0.00269,nan,2.99551,161.9
22,1.0,1.0,0.0,0.00167,nan,2.99546,169.5
23,1.0,1.0,0.0,0.00151,nan,2.99553,177.2
24,1.0,1.0,0.0,0.00142,nan,2.99546,184.8
25,1.0,1.0,0.0,0.00129,nan,2.99553,192.5
26,1.0,1.0,0.0,0.00134,nan,2.99546,200.2
27,1.0,1.0,0.0,0.00118,nan,2.99544,207.8
28,1.0,1.0,0.0,0.00114,nan,2.99551,215.5
29,1.0,1.0,0.0,0.00108,nan,2.99539,223.3
30,1.0,1.0,0.0,0.00237,nan,2.99543,231.0
31,1.0,1.0,0.0,0.00194,nan,2.99552,238.8
32,1.0,1.0,0.0,0.00086,nan,2.99541,246.4
33,1.0,1.0,0.0,0.00081,nan,2.9955,254.0
34,1.0,1.0,0.0,0.00079,nan,2.99552,261.7
35,1.0,1.0,0.0,0.00074,nan,2.99546,269.2
36,1.0,1.0,0.0,0.00069,nan,2.99545,276.8
37,1.0,1.0,0.0,0.00067,nan,2.99546,284.6
38,1.0,1.0,0.0,0.0007,nan,2.99549,292.1
39,1.0,1.0,0.0,0.00065,nan,2.99546,300.0
40,1.0,1.0,0.0,0.00061,nan,2.99564,307.4
41,1.0,1.0,0.0,0.00059,nan,2.99555,315.0
42,1.0,1.0,0.0,0.00056,nan,2.99543,322.6
43,1.0,1.0,0.0,0.00053,nan,2.9956,331.0
44,1.0,1.0,0.0,0.0005,nan,2.9955,339.1
45,1.0,1.0,0.0,0.00052,nan,2.99549,346.5
46,1.0,1.0,0.0,0.0005,nan,2.99542,354.4
47,1.0,1.0,0.0,0.00048,nan,2.99536,362.1
48,1.0,1.0,0.0,0.00044,nan,2.99552,370.0
49,1.0,1.0,0.0,0.00128,nan,2.99545,377.7
50,1.0,1.0,0.0,0.00042,nan,2.99535,385.7
