round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.12125,0.0,0.30466,1.19095,nan,2.99563,8.7
2,0.285,0.0,0.42251,0.98186,nan,2.99554,17.4
3,0.82125,0.0,0.39874,0.66731,nan,2.99557,26.2
4,0.855,0.11111,0.30995,0.38451,nan,2.9953,34.9
5,0.99875,0.9875,0.00375,0.24637,nan,2.99552,43.7
6,1.0,1.0,0.0,0.12428,nan,2.99549,52.5
7,0.99625,0.96296,0.01111,0.08383,nan,2.99555,61.0
8,1.0,1.0,0.0,0.05232,nan,2.99556,69.9
9,1.0,1.0,0.0,0.03421,nan,2.99559,78.8
10,1.0,1.0,0.0,0.0216,nan,2.99553,87.7
11,1.0,1.0,0.0,0.01754,nan,2.9955,96.5
12,1.0,1.0,0.0,0.01603,nan,2.99562,105.2
13,1.0,1.0,0.0,0.01094,nan,2.99561,113.7
14,1.0,1.0,0.0,0.00958,nan,2.99553,122.3
15,1.0,1.0,0.0,0.00344,nan,2.99552,131.5
16,1.0,1.0,0.0,0.00482,nan,2.99547,140.4
17,1.0,1.0,0.0,0.0046,nan,2.9955,149.2
18,1.0,1.0,0.0,0.0059,nan,2.99551,158.0
19,1.0,1.0,0.0,0.00311,nan,2.99539,166.8
20,1.0,1.0,0.0,0.00201,nan,2.99547,175.7
21,1.0,1.0,0.0,0.00191,nan,2.99541,184.3
22,1.0,1.0,0.0,0.00167,nan,2.99548,193.1
23,1.0,1.0,0.0,0.00151,nan,2.99558,201.6
24,1.0,1.0,0.0,0.0014,nan,2.99547,210.5
25,1.0,1.0,0.0,0.00127,nan,2.99559,219.2
26,1.0,1.0,0.0,0.00124,nan,2.99557,227.8
27,1.0,1.0,0.0,0.00118,nan,2.99549,236.6
28,1.0,1.0,0.0,0.00109,nan,2.99553,245.3
29,1.0,1.0,0.0,0.001,nan,2.99557,254.1
30,1.0,1.0,0.0,0.00094,nan,2.99551,262.8
31,1.0,1.0,0.0,0.00189,nan,2.99545,271.7
32,1.0,1.0,0.0,0.00093,nan,2.99564,280.3
33,1.0,1.0,0.0,0.00084,nan,2.99552,289.0
34,1.0,1.0,0.0,0.00081,nan,2.99544,297.9
35,1.0,1.0,0.0,0.00078,nan,2.99554,306.6
36,1.0,1.0,0.0,0.00067,nan,2.99544,315.5
37,1.0,1.0,0.0,0.00067,nan,2.99552,324.3
38,1.0,1.0,0.0,0.00065,nan,2.99544,333.1
39,1.0,1.0,0.0,0.00063,nan,2.99546,341.8
40,1.0,1.0,0.0,0.00059,nan,2.99552,350.5
41,1.0,1.0,0.0,0.00054,nan,2.99549,359.4
42,1.0,1.0,0.0,0.00054,nan,2.9954,367.9
43,1.0,1.0,0.0,0.00054,nan,2.99552,376.6
44,1.0,1.0,0.0,0.0005,nan,2.99552,385.3
45,1.0,1.0,0.0,0.00048,nan,2.99547,394.0
46,1.0,1.0,0.0,0.00048,nan,2.99545,402.5
47,1.0,1.0,0.0,0.00043,nan,2.99547,411.2
48,1.0,1.0,0.0,0.00043,nan,2.99546,419.8
49,1.0,1.0,0.0,0.00043,nan,2.99545,428.6
50,1.0,1.0,0.0,0.00044,nan,2.99547,437.4
