round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.10375,0.0,0.29963,1.17383,nan,2.99562,10.4
2,0.29625,0.0,0.40891,0.95241,nan,2.99555,18.6
3,0.515,0.0,0.4699,0.59947,nan,2.99563,26.4
4,0.8,0.0,0.34826,0.33607,nan,2.99552,33.9
5,0.9925,0.93671,0.01896,0.18223,nan,2.99555,41.7
6,1.0,1.0,0.0,0.12609,nan,2.99555,49.5
7,0.99875,0.98684,0.00395,0.06219,nan,2.99559,57.1
8,1.0,1.0,0.0,0.04977,nan,2.99554,64.8
9,1.0,1.0,0.0,0.0323,nan,2.99563,72.8
10,1.0,1.0,0.0,0.02521,nan,2.99553,80.6
11,1.0,1.0,0.0,0.02135,nan,2.99557,88.3
12,1.0,1.0,0.0,0.01597,nan,2.99553,96.0
13,1.0,1.0,0.0,0.0123,nan,2.99552,103.7
14,1.0,1.0,0.0,0.01129,nan,2.99554,111.6
15,1.0,1.0,0.0,0.00685,nan,2.99552,119.5
16,1.0,1.0,0.0,0.01048,nan,2.99563,127.1
17,1.0,1.0,0.0,0.00331,nan,2.99561,134.9
18,1.0,1.0,0.0,0.00438,nan,2.99557,142.6
19,1.0,1.0,0.0,0.00425,nan,2.99551,150.2
20,1.0,1.0,0.0,0.00565,nan,2.99559,157.9
21,1.0,1.0,0.0,0.00192,nan,2.99556,165.8
22,1.0,1.0,0.0,0.00166,nan,2.99562,173.4
23,1.0,1.0,0.0,0.00151,nan,2.99561,181.4
24,1.0,1.0,0.0,0.00186,nan,2.99559,189.1
25,1.0,1.0,0.0,0.00133,nan,2.99555,197.2
26,1.0,1.0,0.0,0.00122,nan,2.99568,205.2
27,1.0,1.0,0.0,0.0011,nan,2.99556,213.0
28,1.0,1.0,0.0,0.00109,nan,2.99558,220.8
29,1.0,1.0,0.0,0.001,nan,2.99558,228.5
30,1.0,1.0,0.0,0.00092,nan,2.99554,236.5
31,1.0,1.0,0.0,0.00089,nan,2.99554,244.5
32,1.0,1.0,0.0,0.00096,nan,2.9956,252.9
33,1.0,1.0,0.0,0.00096,nan,2.99557,261.1
34,1.0,1.0,0.0,0.00134,nan,2.9956,268.9
35,1.0,1.0,0.0,0.00078,nan,2.99559,276.7
36,1.0,1.0,0.0,0.00073,nan,2.99559,284.6
37,1.0,1.0,0.0,0.00068,nan,2.9955,292.7
38,1.0,1.0,0.0,0.00062,nan,2.99563,300.8
39,1.0,1.0,0.0,0.00063,nan,2.9956,308.4
40,1.0,1.0,0.0,0.00064,nan,2.99561,316.3
41,1.0,1.0,0.0,0.00056,nan,2.99555,323.9
42,1.0,1.0,0.0,0.00056,nan,2.99558,331.7
43,1.0,1.0,0.0,0.00052,nan,2.99561,339.2
44,1.0,1.0,0.0,0.00055,nan,2.9956,347.0
45,1.0,1.0,0.0,0.00051,nan,2.99557,354.7
46,1.0,1.0,0.0,0.00048,nan,2.99553,362.5
47,1.0,1.0,0.0,0.00046,nan,2.99558,370.4
48,1.0,1.0,0.0,0.00045,nan,2.99549,378.4
49,1.0,1.0,0.0,0.00047,nan,2.99558,386.1
50,1.0,1.0,0.0,0.00046,nan,2.99556,393.9
