round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.47875,0.0,0.4221,0.17367,0.06541,2.96658,124.9
2,0.73825,0.51756,0.17927,0.08085,0.05952,2.97651,246.5
3,0.79563,0.13738,0.25398,0.04698,0.07308,2.97902,366.9
4,0.86313,0.58637,0.11798,0.03824,0.09991,2.96285,502.2
5,0.918,0.83231,0.04717,0.03083,0.07557,2.9824,622.2
6,0.90863,0.64233,0.0967,0.02354,0.11422,2.9687,751.5
7,0.924,0.78335,0.05917,0.02338,0.08992,2.98302,871.9
8,0.93812,0.88197,0.03414,0.02258,0.08807,2.98378,992.8
9,0.93812,0.87549,0.03697,0.02011,0.09601,2.98395,1112.6
10,0.94737,0.89754,0.03004,0.01781,0.12264,2.97518,1232.1
11,0.95337,0.90718,0.02804,0.01725,0.10827,2.9821,1352.6
12,0.94675,0.86131,0.0431,0.01446,0.13018,2.9771,1472.2
13,0.9575,0.91484,0.02319,0.01548,0.08918,2.98776,1596.0
14,0.9555,0.90402,0.02998,0.01477,0.09258,2.98817,1720.4
15,0.9625,0.9245,0.02146,0.01434,0.09702,2.98674,1839.9
16,0.96213,0.90754,0.02366,0.01264,0.11542,2.98323,1960.3
17,0.96225,0.93309,0.02306,0.01038,0.06351,2.99252,2079.8
18,0.96488,0.93552,0.01876,0.01264,0.10853,2.98535,2200.7
19,0.96637,0.92574,0.01932,0.01034,0.05414,2.99356,2320.7
20,0.96337,0.93552,0.02076,0.01076,0.07427,2.99149,2439.7
21,0.969,0.94802,0.01379,0.01024,0.06354,2.99274,2562.7
22,0.9695,0.93069,0.01901,0.00989,0.07393,2.99147,2682.9
23,0.97075,0.93917,0.01587,0.01159,0.09384,2.98858,2803.6
24,0.9715,0.93688,0.01726,0.01089,0.08219,2.99064,2923.7
25,0.96988,0.93917,0.01663,0.00924,0.07901,2.9911,3047.1
26,0.97,0.92944,0.0187,0.0094,0.04481,2.99435,3166.9
27,0.972,0.93309,0.01706,0.00725,0.05802,2.99339,3286.8
28,0.97175,0.94039,0.01591,0.00888,0.04205,2.99459,3410.5
29,0.97388,0.94404,0.01626,0.00897,0.04959,2.99408,3533.4
30,0.9735,0.93552,0.01812,0.00832,0.05615,2.99362,3653.6
31,0.976,0.94802,0.0149,0.00797,0.05992,2.99338,3775.7
32,0.975,0.93552,0.01646,0.00715,0.08601,2.99042,3895.5
33,0.97688,0.9559,0.01304,0.00874,0.04015,2.99471,4015.7
34,0.97775,0.95792,0.01224,0.00802,0.07769,2.99158,4135.6
35,0.97988,0.95742,0.01104,0.00741,0.05579,2.99366,4257.9
36,0.97737,0.9572,0.01237,0.0074,0.04578,2.99436,4380.0
37,0.9785,0.95255,0.01153,0.00717,0.02961,2.99519,4499.5
38,0.97988,0.96163,0.01146,0.0066,0.05926,2.9934,4619.9
39,0.9785,0.94039,0.01459,0.00625,0.02493,2.99536,4740.8
40,0.97837,0.95916,0.01031,0.00623,0.04289,2.99455,4860.8
41,0.98088,0.96715,0.00909,0.0074,0.04924,2.99419,4981.2
42,0.97962,0.9562,0.01032,0.00709,0.03775,2.99484,5100.6
43,0.98113,0.96715,0.00836,0.00654,0.02993,2.9952,5225.2
44,0.98088,0.96757,0.0085,0.00647,0.04105,2.99469,5346.0
45,0.98075,0.96163,0.01117,0.00556,0.04117,2.99468,5465.8
46,0.982,0.95742,0.01061,0.00622,0.05655,2.99368,5585.9
47,0.97888,0.9546,0.01324,0.00629,0.04365,2.99455,5705.5
48,0.98137,0.95742,0.01036,0.0053,0.04055,2.99473,5825.6
49,0.983,0.96906,0.00908,0.00559,0.04914,2.99424,5946.1
50,0.9825,0.9708,0.00694,0.00583,0.06205,2.99328,6066.1
