round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.319,0.0,0.39681,0.17323,nan,2.99554,114.3
2,0.7225,0.22938,0.26113,0.07363,nan,2.99558,227.6
3,0.73713,0.07375,0.32147,0.03871,nan,2.99555,341.4
4,0.894,0.71374,0.08248,0.04151,nan,2.99553,456.2
5,0.90612,0.64175,0.09684,0.02899,nan,2.99559,570.0
6,0.91825,0.68814,0.08558,0.02213,nan,2.99559,682.3
7,0.94737,0.89125,0.03112,0.0219,nan,2.99559,794.9
8,0.93812,0.77,0.06536,0.0172,nan,2.99534,906.9
9,0.938,0.82345,0.05215,0.01835,nan,2.99549,1022.9
10,0.95025,0.81314,0.04812,0.01703,nan,2.99557,1134.9
11,0.95437,0.89039,0.03059,0.01735,nan,2.99551,1247.4
12,0.95875,0.88273,0.03228,0.01506,nan,2.99554,1360.0
13,0.9565,0.86823,0.03924,0.01527,nan,2.99556,1472.3
14,0.96337,0.92365,0.02279,0.01222,nan,2.99549,1585.1
15,0.96313,0.90125,0.02681,0.01331,nan,2.99562,1696.9
16,0.96625,0.9125,0.02679,0.01249,nan,2.99563,1810.0
17,0.96762,0.9317,0.02095,0.01063,nan,2.99548,1924.4
18,0.96388,0.89304,0.02881,0.00976,nan,2.99533,2036.9
19,0.97075,0.92875,0.02045,0.01087,nan,2.99551,2149.3
20,0.96988,0.91624,0.02212,0.01088,nan,2.99562,2261.7
21,0.97275,0.95197,0.0136,0.01063,nan,2.99557,2372.8
22,0.97325,0.93966,0.01721,0.01009,nan,2.9955,2484.4
23,0.97375,0.92,0.02083,0.0083,nan,2.99558,2597.0
24,0.97413,0.93375,0.01663,0.00894,nan,2.99554,2710.9
25,0.97375,0.94828,0.01463,0.00943,nan,2.9955,2827.6
26,0.97375,0.94089,0.01539,0.00877,nan,2.99556,2939.0
27,0.976,0.94,0.01655,0.00908,nan,2.99563,3051.6
28,0.97713,0.93473,0.01608,0.00809,nan,2.99561,3164.3
29,0.9755,0.94581,0.01419,0.0084,nan,2.99558,3276.2
30,0.9765,0.94212,0.01747,0.00795,nan,2.99558,3388.1
31,0.97475,0.9433,0.01638,0.00657,nan,2.99557,3500.5
32,0.977,0.94704,0.01391,0.00815,nan,2.99548,3613.1
33,0.97937,0.95619,0.01111,0.00673,nan,2.9956,3728.4
34,0.97925,0.96125,0.00949,0.0072,nan,2.99547,3853.2
35,0.97862,0.95074,0.01301,0.00711,nan,2.99557,3986.6
36,0.9805,0.96375,0.01015,0.00639,nan,2.99565,4121.1
37,0.981,0.96625,0.00815,0.00659,nan,2.9956,4254.1
38,0.97875,0.94716,0.01265,0.00602,nan,2.99557,4388.4
39,0.97988,0.95875,0.01137,0.00641,nan,2.99559,4522.8
40,0.97988,0.96182,0.00865,0.00563,nan,2.99547,4658.3
41,0.97788,0.94212,0.01591,0.00577,nan,2.99549,4800.6
42,0.97988,0.94716,0.01327,0.00617,nan,2.9956,4944.6
43,0.98037,0.94201,0.0149,0.00534,nan,2.99555,5088.5
44,0.98262,0.96521,0.00878,0.00489,nan,2.99554,5233.5
45,0.981,0.95875,0.00945,0.00513,nan,2.99558,5377.0
46,0.98188,0.96182,0.00977,0.00571,nan,2.99558,5521.5
47,0.98188,0.95103,0.01281,0.00562,nan,2.99559,5639.0
48,0.98362,0.96875,0.0086,0.00635,nan,2.99562,5762.5
49,0.98262,0.96521,0.00938,0.00412,nan,2.99548,5884.7
50,0.98325,0.96875,0.00843,0.0048,nan,2.99557,6004.2
