round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.45725,0.0,0.41069,0.19477,0.05655,2.97609,118.8
2,0.70788,0.26683,0.27397,0.0679,0.07418,2.97013,241.0
3,0.8625,0.68029,0.10866,0.05565,0.08482,2.96941,363.2
4,0.90425,0.71995,0.08115,0.03673,0.10128,2.96437,483.8
5,0.89612,0.60216,0.12419,0.03194,0.11772,2.96606,603.8
6,0.93375,0.82048,0.05441,0.02825,0.13254,2.96129,724.4
7,0.94512,0.88116,0.0378,0.02147,0.10982,2.97911,844.8
8,0.9425,0.84324,0.0411,0.01706,0.11381,2.98004,965.2
9,0.95362,0.89128,0.03364,0.01933,0.09452,2.98616,1085.4
10,0.95913,0.92668,0.0238,0.01839,0.10039,2.98574,1206.7
11,0.95888,0.89303,0.03097,0.01717,0.07626,2.99048,1326.3
12,0.96325,0.91783,0.02312,0.01361,0.06424,2.99228,1448.3
13,0.96437,0.93844,0.01925,0.01235,0.11757,2.98211,1568.3
14,0.966,0.93489,0.01911,0.01411,0.10577,2.98569,1688.3
15,0.96613,0.90505,0.02507,0.01201,0.08301,2.9901,1808.7
16,0.96762,0.92752,0.02052,0.01365,0.07093,2.9918,1928.4
17,0.97025,0.93243,0.01834,0.01153,0.08597,2.98963,2050.4
18,0.96962,0.93932,0.0162,0.0125,0.08201,2.99051,2172.2
19,0.97313,0.93805,0.01597,0.01121,0.09381,2.9884,2292.1
20,0.97113,0.92288,0.02413,0.00933,0.08329,2.99052,2412.6
21,0.97475,0.95663,0.01322,0.00748,0.07641,2.99134,2532.7
22,0.97075,0.91656,0.02272,0.00977,0.03856,2.99475,2653.2
23,0.97513,0.95433,0.01388,0.0095,0.09478,2.989,2773.3
24,0.97537,0.94058,0.01717,0.00857,0.06243,2.99296,2892.6
25,0.97662,0.9507,0.01392,0.01061,0.0653,2.99264,3013.5
26,0.97662,0.94819,0.01342,0.00812,0.06616,2.99257,3133.0
27,0.97775,0.95946,0.01241,0.00854,0.07767,2.99134,3253.1
28,0.97837,0.95312,0.01192,0.00794,0.07861,2.9912,3372.9
29,0.98,0.96683,0.00932,0.00853,0.06242,2.99309,3492.7
30,0.97988,0.95433,0.01225,0.00678,0.05393,2.99378,3614.3
31,0.97975,0.96514,0.01028,0.00673,0.06598,2.99271,3734.6
32,0.978,0.95192,0.01337,0.00765,0.06518,2.99284,3856.9
33,0.97862,0.94351,0.01479,0.00592,0.05976,2.9933,3978.2
34,0.98013,0.95322,0.01158,0.00615,0.04627,2.99435,4097.4
35,0.98125,0.96839,0.00902,0.00737,0.06311,2.99302,4217.5
36,0.98013,0.94943,0.01403,0.00696,0.05159,2.994,4337.5
37,0.98137,0.96635,0.00933,0.00598,0.06339,2.99304,4458.3
38,0.98213,0.96514,0.00976,0.00584,0.04694,2.99433,4578.0
39,0.98037,0.95673,0.01378,0.00601,0.06434,2.99297,4697.9
40,0.981,0.96274,0.01096,0.00674,0.06813,2.99266,4820.4
41,0.981,0.97108,0.00817,0.00739,0.06732,2.99278,4940.3
42,0.98262,0.96514,0.00842,0.00516,0.03927,2.99477,5062.4
