round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.42087,0.0,0.35338,0.17954,nan,2.77236,91.7
2,0.77487,0.44676,0.16808,0.07915,nan,2.77222,183.6
3,0.82862,0.65169,0.12185,0.05436,nan,2.77244,275.5
4,0.88775,0.73256,0.07394,0.03734,nan,2.7724,366.9
5,0.80925,0.20073,0.23933,0.0304,nan,2.77217,460.5
6,0.916,0.72763,0.07286,0.02386,nan,2.77224,552.2
7,0.92325,0.77951,0.06164,0.02332,nan,2.77243,643.9
8,0.92537,0.79845,0.05884,0.02243,nan,2.77237,735.5
9,0.93912,0.88443,0.03561,0.01648,nan,2.77234,829.5
10,0.94275,0.86659,0.03749,0.01768,nan,2.77239,922.4
11,0.94963,0.89883,0.02971,0.01889,nan,2.77232,1014.8
12,0.95462,0.89109,0.02667,0.01479,nan,2.77239,1108.4
13,0.94663,0.81912,0.0464,0.01494,nan,2.77236,1201.3
14,0.95362,0.86305,0.0349,0.01597,nan,2.77237,1292.4
15,0.94625,0.8382,0.0459,0.01311,nan,2.77234,1383.7
16,0.9405,0.77907,0.06356,0.01387,nan,2.77246,1476.3
17,0.9605,0.92336,0.02249,0.01323,nan,2.77244,1567.5
18,0.95562,0.8601,0.03554,0.01141,nan,2.77223,1659.2
19,0.95337,0.80074,0.05339,0.01138,nan,2.77237,1753.7
20,0.96262,0.92574,0.02192,0.01138,nan,2.77238,1846.0
21,0.96375,0.92698,0.02443,0.01174,nan,2.77236,1937.6
22,0.96825,0.93917,0.01543,0.01131,nan,2.77226,2032.2
23,0.96375,0.90146,0.02603,0.01098,nan,2.77239,2142.4
24,0.96988,0.94553,0.01595,0.01047,nan,2.77234,2242.2
25,0.97075,0.93552,0.01532,0.01105,nan,2.77247,2334.6
26,0.9695,0.92574,0.02006,0.00797,nan,2.77248,2427.5
27,0.97113,0.94492,0.01529,0.01076,nan,2.77237,2520.4
28,0.97275,0.95173,0.01393,0.00884,nan,2.77238,2615.3
29,0.97275,0.93441,0.0178,0.00912,nan,2.77243,2708.7
30,0.97213,0.94757,0.01606,0.00779,nan,2.77233,2802.0
31,0.97262,0.9505,0.01658,0.00634,nan,2.77241,2893.4
32,0.97375,0.93812,0.01807,0.00752,nan,2.77232,2984.4
33,0.97562,0.93936,0.01482,0.00877,nan,2.77234,3075.9
34,0.97688,0.95668,0.012,0.00844,nan,2.77245,3166.4
35,0.97737,0.95985,0.00999,0.00814,nan,2.7724,3258.4
36,0.97613,0.95792,0.01285,0.00754,nan,2.77244,3350.6
37,0.97637,0.95297,0.01291,0.00689,nan,2.77236,3441.4
38,0.975,0.94039,0.0153,0.00763,nan,2.77243,3536.3
39,0.97788,0.9562,0.0135,0.00621,nan,2.77246,3628.6
40,0.97775,0.93936,0.01477,0.00736,nan,2.77242,3719.3
41,0.97888,0.9562,0.01273,0.00675,nan,2.77242,3811.2
42,0.97837,0.94404,0.01325,0.00584,nan,2.77234,3903.2
43,0.97888,0.95255,0.01213,0.00652,nan,2.77236,3995.1
44,0.97675,0.95331,0.01679,0.00578,nan,2.77235,4090.0
45,0.98,0.95792,0.01161,0.00682,nan,2.77239,4183.1
46,0.97962,0.96411,0.00911,0.00653,nan,2.77234,4274.8
47,0.98175,0.95792,0.01044,0.00655,nan,2.77235,4366.2
48,0.98125,0.95668,0.01083,0.00565,nan,2.7724,4461.7
49,0.98013,0.9546,0.0114,0.0058,nan,2.77238,4555.2
50,0.98113,0.95134,0.01279,0.00591,nan,2.77237,4646.2
