round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.30512,0.0,0.42032,0.19429,0.07185,2.84971,118.9
2,0.7055,0.0,0.32002,0.07367,0.06705,2.86822,238.9
3,0.76325,0.1166,0.28457,0.04711,0.08972,2.85753,358.1
4,0.8675,0.55006,0.13362,0.04239,0.10014,2.85308,481.0
5,0.9145,0.72497,0.07721,0.02777,0.11896,2.86201,601.9
6,0.92087,0.80697,0.06295,0.02304,0.1403,2.85267,721.5
7,0.9395,0.84287,0.0497,0.0241,0.08714,2.88068,840.9
8,0.94788,0.88847,0.03429,0.02095,0.12405,2.87133,959.8
9,0.94988,0.80989,0.04949,0.01983,0.14162,2.86736,1079.9
10,0.94763,0.83143,0.04944,0.01439,0.11218,2.87699,1199.7
11,0.95888,0.90134,0.02765,0.01564,0.08436,2.88354,1321.6
12,0.96037,0.91839,0.02564,0.01147,0.11519,2.87775,1442.0
13,0.96088,0.87805,0.03069,0.01407,0.10098,2.88126,1561.1
14,0.958,0.89354,0.03174,0.01531,0.0946,2.8826,1681.0
15,0.96437,0.8948,0.02867,0.01057,0.05699,2.88798,1801.7
16,0.96575,0.92205,0.02536,0.01067,0.07523,2.88591,1920.9
17,0.96713,0.90241,0.02506,0.01146,0.10714,2.88085,2040.3
18,0.97225,0.94465,0.01494,0.01172,0.09308,2.8838,2159.7
19,0.96875,0.9123,0.02251,0.01094,0.09641,2.88322,2281.9
20,0.97037,0.94519,0.01396,0.01117,0.12086,2.87834,2402.1
21,0.96988,0.91596,0.02125,0.00827,0.065,2.88744,2521.2
22,0.9705,0.9493,0.0145,0.00832,0.09053,2.88416,2640.5
23,0.97213,0.93663,0.01738,0.00916,0.05015,2.88869,2760.7
24,0.97362,0.94095,0.01744,0.0089,0.0453,2.889,2882.7
25,0.97137,0.92169,0.01954,0.00826,0.07101,2.88691,3002.7
26,0.97413,0.94608,0.01554,0.00886,0.06612,2.88715,3123.6
27,0.97488,0.95128,0.01538,0.00828,0.03517,2.88961,3244.4
28,0.97562,0.94608,0.01611,0.00688,0.05708,2.88819,3364.8
29,0.97713,0.95564,0.01206,0.00809,0.0324,2.88971,3485.2
30,0.97762,0.95203,0.01378,0.00781,0.0438,2.88916,3606.2
31,0.978,0.95507,0.01229,0.0097,0.04884,2.88884,3725.7
32,0.97688,0.9508,0.01216,0.00659,0.04434,2.88913,3845.5
33,0.98013,0.96187,0.01111,0.00719,0.04809,2.88891,3965.5
34,0.97888,0.95057,0.01492,0.00604,0.03819,2.88946,4088.0
35,0.98025,0.96187,0.00996,0.00743,0.04108,2.8893,4209.1
36,0.9785,0.95122,0.01229,0.00648,0.08474,2.88535,4329.5
37,0.97937,0.95507,0.01217,0.00756,0.03442,2.88964,4448.5
38,0.98,0.94737,0.01316,0.0066,0.05019,2.88876,4568.6
39,0.98113,0.95379,0.01269,0.00725,0.08451,2.88541,4688.2
40,0.98225,0.96451,0.00869,0.00587,0.03276,2.88973,4808.9
41,0.98162,0.96791,0.00961,0.00614,0.04423,2.88919,4929.6
42,0.98237,0.96198,0.01181,0.00524,0.05005,2.88881,5049.5
43,0.98237,0.96064,0.01049,0.00562,0.07464,2.88664,5169.0
44,0.98075,0.95695,0.01347,0.00545,0.04031,2.88937,5288.8
45,0.982,0.95941,0.01271,0.00597,0.04321,2.88924,5409.0
46,0.98313,0.9631,0.00966,0.00582,0.03801,2.88951,5531.2
47,0.982,0.96679,0.0079,0.00515,0.03287,2.88973,5650.4
48,0.98337,0.96064,0.01095,0.00526,0.03256,2.88975,5769.5
49,0.98462,0.9659,0.00894,0.00468,0.06126,2.88798,5894.2
50,0.9825,0.96578,0.01042,0.00551,0.03459,2.88967,6015.7
