round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.423,0.00387,0.36435,0.17015,nan,2.99551,138.8
2,0.73113,0.26639,0.23512,0.0764,nan,2.99551,262.8
3,0.79263,0.34345,0.2223,0.04665,nan,2.99561,388.1
4,0.89,0.7415,0.08469,0.03706,nan,2.99546,512.9
5,0.90412,0.64017,0.09626,0.03042,nan,2.99549,638.5
6,0.92988,0.83961,0.05238,0.02641,nan,2.99543,765.7
7,0.93788,0.83682,0.05,0.02008,nan,2.99544,892.9
8,0.95063,0.89896,0.03406,0.01919,nan,2.99547,1018.0
9,0.95513,0.91262,0.02602,0.01798,nan,2.99555,1142.1
10,0.95575,0.91839,0.02497,0.01493,nan,2.99547,1266.7
11,0.95775,0.92748,0.02263,0.01379,nan,2.99542,1391.6
12,0.95263,0.88982,0.03061,0.01491,nan,2.99551,1520.2
13,0.96262,0.93204,0.01812,0.01191,nan,2.99555,1646.2
14,0.96662,0.94608,0.01432,0.01302,nan,2.99556,1771.2
15,0.96762,0.92487,0.01881,0.01145,nan,2.99538,1897.2
16,0.96775,0.93264,0.01843,0.01009,nan,2.99543,2021.4
17,0.96888,0.94485,0.01637,0.01122,nan,2.99559,2145.8
18,0.96913,0.94948,0.01456,0.01057,nan,2.9954,2270.7
19,0.97037,0.94608,0.01364,0.00983,nan,2.99547,2397.3
20,0.971,0.94853,0.0163,0.0107,nan,2.99541,2522.8
21,0.97113,0.93394,0.01627,0.00866,nan,2.99551,2648.0
22,0.97125,0.93912,0.0174,0.00925,nan,2.99553,2772.5
23,0.97325,0.94948,0.01534,0.00849,nan,2.9956,2896.8
24,0.97562,0.95588,0.01093,0.00785,nan,2.99557,3021.7
25,0.97675,0.96324,0.01046,0.00823,nan,2.99557,3146.1
26,0.9765,0.95466,0.01196,0.00829,nan,2.99532,3274.2
27,0.97575,0.95725,0.01276,0.00769,nan,2.99538,3400.2
28,0.976,0.94485,0.01591,0.00906,nan,2.99552,3527.6
29,0.97413,0.94689,0.01529,0.00823,nan,2.99551,3652.3
30,0.97637,0.95012,0.01354,0.00697,nan,2.99544,3776.6
31,0.97888,0.96259,0.00978,0.00722,nan,2.99543,3902.0
32,0.97713,0.94853,0.01167,0.0062,nan,2.99553,4025.7
33,0.97762,0.95343,0.01267,0.00742,nan,2.99545,4149.7
34,0.979,0.94853,0.01228,0.00673,nan,2.9954,4277.3
35,0.979,0.96135,0.01286,0.00648,nan,2.99546,4402.1
36,0.97937,0.96569,0.00828,0.00644,nan,2.99529,4527.7
37,0.98025,0.96691,0.0099,0.0067,nan,2.99546,4654.7
38,0.97975,0.95221,0.01267,0.00632,nan,2.99538,4780.5
39,0.98025,0.96078,0.01047,0.0064,nan,2.99562,4904.7
40,0.98,0.96373,0.00936,0.00583,nan,2.99541,5028.9
41,0.97988,0.95466,0.01311,0.00623,nan,2.99556,5158.2
42,0.98113,0.96569,0.0106,0.00646,nan,2.9955,5285.7
43,0.98213,0.96758,0.00941,0.00629,nan,2.99545,5411.2
44,0.98188,0.96569,0.01084,0.00487,nan,2.99545,5537.0
45,0.98162,0.95984,0.01063,0.00482,nan,2.99545,5662.7
46,0.98362,0.96758,0.00926,0.00599,nan,2.99547,5789.0
47,0.98375,0.97409,0.00791,0.00479,nan,2.99554,5913.0
48,0.9835,0.96569,0.00878,0.00605,nan,2.99555,6041.9
49,0.98237,0.97304,0.00842,0.0051,nan,2.99552,6165.6
50,0.98313,0.95711,0.01127,0.00484,nan,2.99546,6290.7
