round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.49175,0.0,0.35824,0.31232,0.0522,3.6682,129.0
2,0.70225,0.02792,0.31613,0.13102,0.07107,3.66494,261.1
3,0.8225,0.38452,0.18473,0.0848,0.08462,3.66428,392.3
4,0.86787,0.53173,0.12366,0.068,0.07095,3.67387,528.3
5,0.90338,0.699,0.08442,0.05118,0.08556,3.67293,659.1
6,0.91838,0.75871,0.06644,0.04021,0.103,3.67138,790.7
7,0.93212,0.81692,0.05093,0.03772,0.08062,3.68015,922.2
8,0.93625,0.81468,0.05379,0.03408,0.10182,3.67658,1056.6
9,0.94412,0.8649,0.03824,0.03132,0.09984,3.67745,1189.4
10,0.94163,0.86816,0.04034,0.02905,0.08648,3.68125,1323.9
11,0.95,0.89303,0.02999,0.02789,0.09973,3.67891,1456.4
12,0.953,0.91915,0.02451,0.02548,0.08516,3.68257,1589.4
13,0.95737,0.91045,0.0251,0.02423,0.06708,3.68514,1722.0
14,0.95425,0.89179,0.02928,0.02169,0.07398,3.68449,1854.4
15,0.96113,0.92413,0.02178,0.01721,0.07164,3.68491,1987.9
16,0.96337,0.9291,0.02067,0.01817,0.07546,3.68449,2121.2
17,0.96437,0.93532,0.01775,0.02053,0.09333,3.68169,2256.7
18,0.964,0.92662,0.01884,0.01901,0.07653,3.68448,2391.7
19,0.9665,0.93781,0.01646,0.01728,0.08115,3.68396,2525.2
20,0.96637,0.9291,0.01985,0.01567,0.06291,3.68601,2658.4
21,0.96613,0.91915,0.02285,0.01407,0.05886,3.68644,2792.0
22,0.96875,0.93035,0.0196,0.01362,0.06213,3.68618,2926.2
23,0.97013,0.9403,0.01784,0.01404,0.06828,3.68561,3058.7
24,0.97175,0.94571,0.0141,0.01386,0.06533,3.68593,3193.5
25,0.9705,0.92289,0.02165,0.01325,0.07585,3.68484,3326.9
26,0.97062,0.92662,0.02188,0.01182,0.05218,3.68709,3460.7
27,0.97162,0.92164,0.0213,0.0119,0.05346,3.687,3594.1
28,0.97313,0.93657,0.01718,0.01293,0.04471,3.6876,3727.3
29,0.97275,0.93905,0.01598,0.01253,0.05311,3.68708,3860.3
30,0.9735,0.94279,0.01537,0.01301,0.04816,3.6874,3994.0
31,0.97562,0.95455,0.01226,0.01175,0.04403,3.68765,4131.4
32,0.97662,0.94697,0.01314,0.01264,0.05808,3.68667,4264.9
33,0.97675,0.94949,0.01293,0.01105,0.04977,3.68732,4399.7
34,0.97562,0.94154,0.01631,0.01102,0.05578,3.68688,4533.3
35,0.97675,0.95076,0.0137,0.01048,0.0527,3.6871,4667.8
36,0.97775,0.95398,0.01271,0.01142,0.03371,3.68819,4801.9
37,0.97725,0.94403,0.01553,0.01083,0.04,3.68791,4937.2
38,0.97875,0.95833,0.01071,0.01001,0.05427,3.68698,5070.3
39,0.97788,0.94949,0.01355,0.00947,0.03703,3.68805,5203.2
40,0.97913,0.95328,0.01148,0.00949,0.03643,3.68808,5336.2
41,0.97975,0.95581,0.01108,0.0097,0.03397,3.68819,5469.6
42,0.97962,0.95455,0.01125,0.00863,0.04263,3.68777,5603.0
43,0.97988,0.95581,0.01062,0.00931,0.04247,3.68778,5736.2
44,0.97988,0.95328,0.01194,0.00825,0.05398,3.68703,5872.5
45,0.98037,0.96642,0.00895,0.0095,0.03787,3.68802,6006.4
46,0.98125,0.96465,0.00855,0.00955,0.03277,3.68823,6140.3
47,0.98062,0.95455,0.01243,0.00914,0.04464,3.68767,6274.7
48,0.98137,0.95202,0.01332,0.0088,0.04036,3.68791,6407.9
49,0.98125,0.96231,0.01139,0.00841,0.05244,3.68714,6541.5
50,0.98113,0.96702,0.0091,0.00931,0.0324,3.68826,6674.6
