round,test_acc,worst_class_recall,class_recall_std,train_loss,edge_acc_spread,weight_entropy,seconds
1,0.47237,0.0,0.34024,0.29873,0.05958,3.66115,134.8
2,0.69312,0.12944,0.27192,0.13705,0.06588,3.66827,272.1
3,0.79112,0.54975,0.16071,0.08346,0.08591,3.65858,409.8
4,0.8475,0.36616,0.1838,0.06256,0.08829,3.6634,545.6
5,0.88938,0.66667,0.09826,0.04965,0.08793,3.67268,680.9
6,0.909,0.70202,0.09216,0.04184,0.09957,3.67274,817.2
7,0.924,0.82487,0.05069,0.03905,0.12743,3.66357,953.2
8,0.92112,0.77792,0.06516,0.03459,0.09907,3.67651,1090.4
9,0.93763,0.8566,0.03818,0.0321,0.09698,3.67745,1227.2
10,0.945,0.87189,0.03483,0.03043,0.08387,3.68153,1370.4
11,0.94975,0.91162,0.02741,0.02488,0.10337,3.67761,1508.4
12,0.95325,0.90657,0.02779,0.02478,0.10475,3.67745,1645.5
13,0.95813,0.91035,0.02216,0.02432,0.08808,3.68174,1782.3
14,0.9585,0.91045,0.02519,0.02008,0.07821,3.68353,1918.2
15,0.9595,0.90657,0.0273,0.02004,0.06676,3.68532,2055.5
16,0.95813,0.87626,0.03498,0.01772,0.06839,3.685,2193.1
17,0.96288,0.91791,0.02245,0.0189,0.07267,3.68473,2331.3
18,0.96475,0.92164,0.02368,0.01534,0.07448,3.68463,2467.3
19,0.9665,0.92413,0.0204,0.018,0.07866,3.68418,2605.4
20,0.96575,0.91542,0.02214,0.01821,0.0676,3.68555,2741.4
21,0.967,0.91418,0.02615,0.0131,0.08478,3.68347,2877.9
22,0.96813,0.92413,0.01869,0.01597,0.0733,3.68496,3016.3
23,0.96888,0.91045,0.02401,0.01478,0.0609,3.6863,3156.4
24,0.97062,0.91667,0.02373,0.0129,0.06506,3.68591,3294.3
25,0.9705,0.91919,0.02575,0.01298,0.06565,3.68592,3430.7
26,0.97088,0.9291,0.02139,0.01372,0.06563,3.68594,3569.4
27,0.9725,0.93939,0.0164,0.01467,0.05295,3.687,3706.2
28,0.9735,0.93284,0.01965,0.01258,0.05907,3.68652,3843.2
29,0.97388,0.95202,0.014,0.01152,0.06114,3.68641,3981.1
30,0.97537,0.95076,0.01365,0.01206,0.04929,3.6873,4119.9
31,0.974,0.93561,0.01924,0.01143,0.04505,3.68759,4255.5
32,0.97513,0.94066,0.01785,0.0105,0.04754,3.68743,4392.2
33,0.97737,0.95076,0.01465,0.01109,0.062,3.68635,4528.5
34,0.97513,0.94527,0.0149,0.01201,0.04263,3.68774,4665.9
35,0.97775,0.95455,0.01138,0.01118,0.05321,3.68706,4802.6
36,0.976,0.94776,0.01567,0.01046,0.04838,3.68738,4943.0
37,0.977,0.949,0.01596,0.0096,0.04787,3.68744,5081.1
38,0.978,0.96144,0.01111,0.0108,0.05805,3.68671,5217.1
39,0.97762,0.94318,0.01649,0.01059,0.05451,3.68701,5354.1
40,0.97862,0.95833,0.01067,0.00966,0.04327,3.68772,5490.6
41,0.97813,0.94949,0.01363,0.00958,0.03192,3.68827,5627.7
42,0.97862,0.94823,0.0137,0.00985,0.04971,3.68734,5764.3
43,0.9785,0.94697,0.01587,0.00964,0.03807,3.688,5903.2
44,0.98,0.94066,0.015,0.00808,0.03663,3.68808,6039.7
45,0.9795,0.94949,0.01502,0.00906,0.04591,3.68758,6177.6
46,0.98137,0.95833,0.01031,0.00927,0.05424,3.68701,6314.3
47,0.98225,0.96086,0.00992,0.00851,0.0397,3.68792,6449.9
48,0.98113,0.95202,0.01326,0.00751,0.03931,3.68796,6589.6
49,0.98075,0.96591,0.0095,0.00874,0.03994,3.68791,6729.9
50,0.98125,0.95833,0.0113,0.00848,0.04641,3.68757,6868.7
